ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Goodwill,Budget sources and other funds,Investment and development funds (Bn. VND),Convertible bonds (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Investment in joint ventures,Difference upon Assets Revaluation,Minority Interest
VIC,2024,4,396479911000000.0,42582366000000,8718884000000.0,190046565000000.0,114090183000000.0,41041913000000.0,440123992000000.0,23359127000000.0,182943333000000,13033418000000.0,27060860000000,21164104000000.0,836603903000000,682769422000000,505292040000000.0,177477382000000.0,153834481000000,153834481000000.0,15306530000000.0,44468350000000,16437647000000,836603903000000,40937213000000.0,1478525000000.0,127068459000000.0,25937361000000.0,38236616000000.0,38785833000000,129041914000000.0,138374890000000.0,95189145000000.0,4517414000000.0,8641393000000.0,19388427000000,57573484000000.0,82564248000000.0,0.0,0.0,0.0,3688998000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2024,3,423990500000000.0,27040242000000,6424590000000.0,217470663000000.0,128229866000000.0,44825139000000.0,367483444000000.0,2854876000000.0,186833298000000,15067665000000.0,23657660000000,17246291000000.0,791473944000000,627217065000000,470411783000000.0,156805282000000.0,164256879000000,164256879000000.0,15306530000000.0,41791856000000,29427206000000,791473944000000,38449157000000.0,10684528000000.0,139923090000000.0,29946013000000.0,38236616000000.0,38785833000000,115120855000000.0,97033850000000.0,96768964000000.0,1660480000000.0,7821923000000.0,16092357000000,11375130000000.0,15381144000000.0,0.0,0.0,0.0,3600189000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2024,2,351053988000000.0,28565428000000,4219258000000.0,168284080000000.0,106890810000000.0,43094412000000.0,371076200000000.0,15415355000000.0,184376245000000,16709756000000.0,30220404000000,12358292000000.0,722130188000000,559830905000000,414505239000000.0,145325666000000.0,162299283000000,162299283000000.0,15306530000000.0,36489289000000,32722567000000,722130188000000,36456365000000.0,2186313000000.0,118493519000000.0,28812013000000.0,38236616000000.0,38785833000000,111176545000000.0,69213109000000.0,110794386000000.0,1714600000000.0,7761315000000.0,16926510000000,11418442000000.0,27769220000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2024,1,350049998000000.0,26653084000000,4416936000000.0,177746167000000.0,99346636000000.0,41887175000000.0,343898795000000.0,2414656000000.0,175829606000000,15899295000000.0,33296747000000,9754046000000.0,693948793000000,536196058000000,394383059000000.0,141812999000000.0,157752735000000,157752735000000.0,15306530000000.0,36490377000000,27382060000000,693948793000000,37812849000000.0,11170022000000.0,109769644000000.0,28812013000000.0,38236616000000.0,38785833000000,106799696000000.0,52093288000000.0,119716720000000.0,403879000000.0,6243034000000.0,23947574000000,7833580000000.0,10997880000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2023,4,342609157000000.0,29289535000000,5671500000000.0,165398901000000.0,92730270000000.0,49518951000000.0,327007916000000.0,1147876000000.0,159594207000000,38210694000000.0,15252380000000,10246711000000.0,669617073000000,521595497000000,386669534000000.0,134925963000000.0,148021576000000,148021576000000.0,22021072000000.0,21809007000000,26468350000000,669617073000000,34411258000000.0,7637650000000.0,102504620000000.0,35843634000000.0,38236616000000.0,38785833000000,98789828000000.0,44000286000000.0,114522806000000.0,492625000000.0,5566420000000.0,13892460000000,5953109000000.0,7829676000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2023,3,298026710000000.0,16882015000000,7369738000000.0,152023108000000.0,83672447000000.0,38079402000000.0,327360635000000.0,518826000000.0,147864388000000,39451116000000.0,11014438000000,10104960000000.0,625387345000000,478444829000000,344773342000000.0,133671487000000.0,146942516000000,146942516000000.0,22020365000000.0,23428624000000,24077179000000,625387345000000,36512248000000.0,9426913000000.0,91859083000000.0,25299696000000.0,38139356000000.0,38688573000000,98292858000000.0,46585028000000.0,95183876000000.0,571009000000.0,6366189000000.0,9627698000000,6312876000000.0,7416267000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2023,2,279229101000000.0,18445846000000,4919214000000.0,144449651000000.0,84742609000000.0,26671781000000.0,319948038000000.0,5818300000000.0,143635620000000,39780799000000.0,10657937000000,10148849000000.0,599177139000000,461474523000000,338939145000000.0,122535378000000.0,137702616000000,137702616000000.0,18481872000000.0,17279082000000,24708835000000,599177139000000,34245504000000.0,4723802000000.0,92250092000000.0,14865254000000.0,38139356000000.0,38688573000000,89096108000000.0,60718449000000.0,86955653000000.0,636024000000.0,6362514000000.0,9250972000000,6194244000000.0,14153728000000.0,0.0,0.0,0.0,9892369000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2023,1,291950102000000.0,17449584000000,7151127000000.0,149222786000000.0,91911380000000.0,26215225000000.0,304927080000000.0,2491207000000.0,135367481000000,39607843000000.0,10228952000000,9571811000000.0,596877182000000,460565227000000,316175727000000.0,144389500000000.0,136311955000000,136311955000000.0,18481872000000.0,15463409000000,25048317000000,596877182000000,38536483000000.0,8104630000000.0,99659336000000.0,14268865000000.0,38139356000000.0,38688573000000,114346529000000.0,69296654000000.0,64421582000000.0,700469000000.0,6287383000000.0,9246752000000,5770239000000.0,10051662000000.0,0.0,0.0,0.0,9826651000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2022,4,272222529000000.0,26209213000000,4367612000000.0,117446829000000.0,98527655000000.0,25671220000000.0,302584761000000.0,2486207000000.0,122908696000000,38400267000000.0,11170860000000,8920254000000.0,574807290000000,439194193000000,296551641000000.0,142642552000000.0,135613097000000,135613097000000.0,18481872000000.0,14009307000000,25915402000000,574807290000000,38926568000000.0,8257466000000.0,103707060000000.0,13300057000000.0,38139356000000.0,38688573000000,120091950000000.0,74825233000000.0,48068184000000.0,764567000000.0,5642485000000.0,10707516000000,645829000000.0,10020595000000.0,0.0,0.0,0.0,9866970000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2022,3,269408836000000.0,26449568000000,2196725000000.0,129462314000000.0,85750571000000.0,25549658000000.0,286162181000000.0,760000000000.0,114594496000000,39287565000000.0,10535545000000,8553436000000.0,555571017000000,418345604000000,286327011000000.0,132018593000000.0,137225413000000,137225413000000.0,18481872000000.0,14947729000000,26462392000000,555571017000000,44267122000000.0,16414064000000.0,91632929000000.0,13998301000000.0,38139356000000.0,38688573000000,109703346000000.0,72443004000000.0,62819714000000.0,848710000000.0,5204514000000.0,10244970000000,578058000000.0,8226617000000.0,0.0,0.0,0.0,9975926000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2022,2,257499676000000.0,42208684000000,6096584000000.0,104422003000000.0,80978106000000.0,23794299000000.0,271458225000000.0,1000000000.0,113397188000000,39659054000000.0,10523548000000,8499494000000.0,528957901000000,396914172000000,264119744000000.0,132794428000000.0,132043729000000,132043729000000.0,18481872000000.0,9873003000000,26380160000000,528957901000000,37192055000000.0,15694064000000.0,85863413000000.0,13998311000000.0,38139356000000.0,38688573000000,110949499000000.0,62718522000000.0,45924301000000.0,958706000000.0,5209615000000.0,10200737000000,426196000000.0,7393553000000.0,0.0,0.0,0.0,9714070000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2022,1,169506762000000.0,15241944000000,3648828000000.0,83585995000000.0,52375294000000.0,14654701000000.0,271859761000000.0,840000000000.0,127068186000000,38162022000000.0,10313117000000,7481974000000.0,441366523000000,306808076000000,148450387000000.0,158357689000000.0,134558447000000,134558447000000.0,18481872000000.0,6487625000000,32215228000000,441366523000000,30163319000000.0,13892113000000.0,54514850000000.0,5881540000000.0,38139356000000.0,38688573000000,109348630000000.0,18973690000000.0,30199211000000.0,1036814000000.0,5370221000000.0,9305815000000,555175000000.0,1395175000000.0,0.0,0.0,0.0,9518301000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2021,4,163350836000000.0,19653270000000,6758243000000.0,74342928000000.0,50910386000000.0,11686009000000.0,263973098000000.0,455249000000.0,130455105000000,35128444000000.0,9151771000000,8334919000000.0,427323934000000,268177346000000,144444929000000.0,123732417000000.0,159146588000000,159146588000000.0,18481872000000.0,3897264000000,59500115000000,427323934000000,21767291000000.0,14824123000000.0,53074286000000.0,2895599000000.0,38052148000000.0,38675533000000,102180175000000.0,22352075000000.0,20035038000000.0,1859464000000.0,5806361000000.0,8831485000000,143707000000.0,598956000000.0,0.0,0.0,0.0,9550120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2021,3,180400355000000.0,21262502000000,7601808000000.0,83792891000000.0,55382094000000.0,12361060000000.0,253202280000000.0,713250000000.0,123390828000000,34584614000000.0,7264511000000,10432560000000.0,433602635000000,269305555000000,148238154000000.0,121067401000000.0,164297080000000,164297080000000.0,18481872000000.0,3670170000000,64865034000000,433602635000000,20028857000000.0,14583666000000.0,57978250000000.0,3671599000000.0,38052148000000.0,38675533000000,102280509000000.0,29008286000000.0,26628727000000.0,2036798000000.0,7256790000000.0,6852073000000,357177000000.0,1070427000000.0,0.0,0.0,0.0,9529823000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
